Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time_avg,time_min,time_max,type,n,r
ikj_1400,4.0262E+9,2.2556E+9,1.7194E+9,1.48E+6,0,802.8E+6,99.2E+6,80.992E+6,19.796E+6,8.14E+6,11.656E+6,0.5913,0.581,0.608,ikj,1400,0
ijk_ikj_1500_75,17.57E+9,5.376E+9,4.4466E+9,580E+3,0,6.5116E+9,56.52E+6,48.74E+6,2.716E+6,1.992E+6,548E+3,0.376,0.367,0.404,ijk_ikj,1500,75
ijk_ikj_1500_300,16.2882E+9,5.7348E+9,4.689E+9,180E+3,0,5.88874E+9,99.38E+6,79.404E+6,22.34E+6,22.1E+6,256E+3,0.6267,0.621,0.648,ijk_ikj,1500,300
ikj_1500,4.9752E+9,2.8446E+9,2.1686E+9,1.54E+6,0,1.00436E+9,124.32E+6,95.784E+6,26.88E+6,8.928E+6,17.944E+6,0.7441,0.729,0.795,ikj,1500,0
ijk_ikj_1600_32,22.3564E+9,6.7116E+9,5.5592E+9,3.28E+6,0,8.13718E+9,21.96E+6,11.968E+6,8.6E+6,7.26E+6,1.152E+6,0.4699,0.454,0.517,ijk_ikj,1600,32
ijk_ikj_1600_320,19.7504E+9,6.9284E+9,5.6676E+9,200E+3,20E+3,7.15006E+9,122.24E+6,100.596E+6,25.056E+6,24.748E+6,268E+3,0.7578,0.737,0.825,ijk_ikj,1600,320
ikj_1600,5.9166E+9,3.4894E+9,2.6694E+9,2.22E+6,0,1.1554E+9,152.92E+6,115.304E+6,37.636E+6,11.22E+6,26.412E+6,0.9021,0.89,0.943,ikj,1600,0
ijk_ikj_1700_425,23.687E+9,8.5138E+9,7.0208E+9,260E+3,80E+3,8.63348E+9,150.06E+6,128.892E+6,24.548E+6,24.164E+6,388E+3,0.5883,0.563,0.637,ijk_ikj,1700,425
ijk_ikj_1700_340,23.6668E+9,8.6604E+9,7.0636E+9,260E+3,20E+3,8.58018E+9,139.82E+6,115.88E+6,29.104E+6,28.704E+6,332E+3,0.8917,0.887,0.904,ijk_ikj,1700,340
ikj_1700,7.147E+9,4.274E+9,3.286E+9,2.88E+6,0,1.40102E+9,179.02E+6,131.58E+6,45.824E+6,13.38E+6,32.472E+6,1.1046,1.09,1.132,ikj,1700,0
ijk_ikj_1800_75,30.3598E+9,10.0466E+9,8.3096E+9,1.14E+6,40E+3,11.07556E+9,123.12E+6,112.588E+6,5.204E+6,3.54E+6,1.328E+6,0.6701,0.641,0.74,ijk_ikj,1800,75
