Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time_Avg,time_min,time_max
ijk_ikj_950_38,4795933333,1320466667,1091266667,53333,0,1788433333,3.4E+6,1818667,1137333,1.112E+6,29333,0.1239,0.1,0.153
ijk_ikj_950_50,4.6212E+9,1278933333,1.0584E+9,46667,0,1723733333,2793333,1746667,801333,749333,33333,0.1248,0.093,0.153
ijk_ikj_950_95,4380866667,1.4152E+9,1.1688E+9,26667,0,1514013333,34526667,34.26E+6,713333,652E+3,48E+3,0.1469,0.117,0.194
ijk_ikj_950_190,4217866667,1449866667,1.1964E+9,20E+3,0,1474406667,28.32E+6,23254667,5698667,5601333,77333,0.1856,0.157,0.239
ijk_ikj_1000_10,8106733333,2.1658E+9,1789333333,486667,0,2.19952E+9,15773333,6.204E+6,10.056E+6,10013333,41333,0.2015,0.15,0.267
ijk_ikj_1000_20,5900866667,1.6566E+9,1369733333,186667,0,1963126667,5.84E+6,1382667,4354667,4289333,30667,0.1524,0.116,0.186
ijk_ikj_1000_25,5.9526E+9,1677266667,1386066667,146667,0,2004286667,5533333,2118667,3025333,2946667,48E+3,0.1478,0.112,0.181
ijk_ikj_1000_40,5314066667,1508933333,1.2458E+9,73333,0,1939773333,3393333,2014667,1.244E+6,1.2E+6,38667,0.1462,0.115,0.184
ijk_ikj_1000_50,5390266667,1.5154E+9,1.254E+9,66667,0,2043553333,4E+6,2.732E+6,926667,857333,48E+3,0.1384,0.104,0.175
ijk_ikj_1000_100,4974066667,1.7582E+9,1.4544E+9,26667,0,1.74126E+9,35593333,34986667,861333,777333,65333,0.1841,0.147,0.237
ijk_ikj_1000_125,4987466667,1658333333,1370066667,20E+3,0,1.69504E+9,36.96E+6,37.58E+6,1.98E+6,1.872E+6,70667,0.1574,0.115,0.207
ijk_ikj_1000_200,4863066667,1677266667,1384933333,20E+3,0,1.72298E+9,32746667,26.436E+6,6754667,6665333,85333,0.2162,0.184,0.256
ijk_ikj_1000_250,4878666667,1.684E+9,1391866667,33333,0,1723906667,32.08E+6,24973333,8.052E+6,7969333,72E+3,0.1515,0.116,0.199
ijk_ikj_1050_10,9.3846E+9,2.5174E+9,2.082E+9,620E+3,0,2580286667,18.94E+6,7498667,11438667,11366667,38667,0.2276,0.175,0.298
