Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	Read req L3	L3 misses
multiply_matrices_ijk_ikj_250_250(void)	OMPMul.exe	8	18		22	41	1		18	1
multiply_matrices_ikj_250(void)	OMPMul.exe	6	44		41	59			13	
multiply_matrices_ijk_ikj_200_200(void)	OMPMul.exe	5	25	1	32	69			3	
multiply_matrices_ijk_ikj_200_100(void)	OMPMul.exe	5	21	3	25	62			6	
multiply_matrices_ijk_150(void)	OMPMul.exe	5	17	4	40	31			5	
multiply_matrices_ijk_ikj_1400_100(void)	OMPMul.exe	4	8		9	18	2			
clean_250(void)	OMPMul.exe	4	12		31	42			4	1
multiply_matrices_ijk_ikj_200_50(void)	OMPMul.exe	4	31	1	35	81			2	
multiply_matrices_ijk_ikj_150_75(void)	OMPMul.exe	4	2		3	8			2	
multiply_matrices_ikj_200(void)	OMPMul.exe	3	22		21	36			6	1
multiply_matrices_ijk_ikj_150_50(void)	OMPMul.exe	3	9		11	21			1	1
multiply_matrices_ijk_ikj_150_150(void)	OMPMul.exe	2	9		9	20			2	
clean_150(void)	OMPMul.exe	2	10		16	23			2	
multiply_matrices_ikj_150(void)	OMPMul.exe	2	19	1	12	25				
multiply_matrices_ijk_ikj_100_50(void)	OMPMul.exe	2	4	1	5	8				
multiply_matrices_ijk_100(void)	OMPMul.exe	2							7	
module_init_entry	em006_64.dll	1			2					
clean_50(void)	OMPMul.exe	1			1					
multiply_matrices_ijk_ikj_1400_280(void)	OMPMul.exe	1	4		6	13				
clean_200(void)	OMPMul.exe	1	13		19	31			5	
multiply_matrices_ikj_100(void)	OMPMul.exe	1	4		4	7				
measure_invocation(void (*)(void))	OMPMul.exe				1					
measure(void (*)(void (*)(void)))	OMPMul.exe				1					
multiply_matrices_ijk_ikj_50_50(void)	OMPMul.exe		1		2	4				
clean_100(void)	OMPMul.exe		6		12	10				
