Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses
multiply_matrices_ijk_ikj_200_100$omp$1	OMPMul.exe	8	62	1	49	99	1		1	
multiply_matrices_ijk_ikj_200_200$omp$1	OMPMul.exe	7	49	2	43	79	1		4	3
multiply_matrices_ijk_ikj_200_50$omp$1	OMPMul.exe	6	49	2	38	84	3		5	1
multiply_matrices_ijk_ikj_250_125$omp$1	OMPMul.exe	16	105	8	88	169	2	1	4	2
multiply_matrices_ijk_ikj_250_250$omp$1	OMPMul.exe	14	90	5	71	146	2		9	6
multiply_matrices_ijk_ikj_250_50$omp$1	OMPMul.exe	13	114	3	95	206	6		4	
multiply_matrices_ijk_ikj_300_100$omp$1	OMPMul.exe	21	139	2	118	226	7		5	
multiply_matrices_ijk_ikj_300_150$omp$1	OMPMul.exe	23	159	10	137	275	4		1	2
multiply_matrices_ijk_ikj_300_300$omp$1	OMPMul.exe	23	126	5	110	204	4		9	7
multiply_matrices_ijk_ikj_300_50$omp$1	OMPMul.exe	21	163	4	140	292	12		5	2
multiply_matrices_ijk_ikj_300_60$omp$1	OMPMul.exe	24	139	2	120	230	9		9	4
multiply_matrices_ijk_ikj_300_75$omp$1	OMPMul.exe	26	165	4	146	267	7		5	3
multiply_matrices_ijk_ikj_350_175$omp$1	OMPMul.exe	37	258	17	223	421	5		6	3
multiply_matrices_ijk_ikj_350_350$omp$1	OMPMul.exe	39	242	8	223	402	4		18	13
multiply_matrices_ijk_ikj_350_50$omp$1	OMPMul.exe	39	252	4	205	459	17	1	7	4
multiply_matrices_ijk_ikj_350_70$omp$1	OMPMul.exe	40	242	4	204	406	14		11	6
multiply_matrices_ijk_ikj_400_100$omp$1	OMPMul.exe	58	387	15	325	632	12	1	10	3
multiply_matrices_ijk_ikj_400_200$omp$1	OMPMul.exe	55	323	19	276	532	9		11	4
multiply_matrices_ijk_ikj_400_400$omp$1	OMPMul.exe	61	354	9	300	571	3	1	26	18
multiply_matrices_ijk_ikj_400_50$omp$1	OMPMul.exe	54	342	5	277	628	29	1	8	4
multiply_matrices_ijk_ikj_400_80$omp$1	OMPMul.exe	58	397	13	338	653	17	1	11	6
multiply_matrices_ijk_ikj_450_150$omp$1	OMPMul.exe	82	486	32	421	813	16		6	4
multiply_matrices_ijk_ikj_450_225$omp$1	OMPMul.exe	80	490	17	402	791	12		7	3
multiply_matrices_ijk_ikj_450_450$omp$1	OMPMul.exe	88	507	18	446	844	3	5	35	25
multiply_matrices_ijk_ikj_450_50$omp$1	OMPMul.exe	77	508	10	413	920	39	1	11	6
