Function	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses	time
ijk_ikj_1100_275	1427	8105	616	8218	9914	209	8	39	18	0.0024
ijk_ikj_1100_550	1579	7016	473	9611	10165	68	39	36	19	0.0029
ijk_ikj_1100_1100	1381	5483	281	8195	9852	9	43	43	29	0.0033
ijk_ikj_1150_50	1490	8505	277	8897	15523	1198	35	88	39	0.0028
ijk_ikj_1150_115	1757	9344	948	9970	12302	613	8	76	39	0.0031
ijk_ikj_1150_230	1548	7911	790	8847	11967	297	9	48	32	0.0036
ijk_ikj_1150_575	2090	9760	567	12897	11886	60	55	51	28	0.0032
ijk_ikj_1150_1150	1821	8113	335	11065	11604	7	50	71	47	0.0043
ijk_ikj_1200_50	1700	9768	344	10199	17536	1366	39	98	46	0.0037
ijk_ikj_1200_60	1566	8017	338	9141	17304	1188	31	101	49	0.0035
ijk_ikj_1200_75	1725	10910	386	10315	15828	988	24	93	44	0.0032
ijk_ikj_1200_80	1301	6899	362	7754	13264	910	22	72	34	0.0036
ijk_ikj_1200_100	1442	7048	719	8247	14426	769	14	59	45	0.0027
ijk_ikj_1200_120	1722	6994	1703	9851	12561	645	15	56	34	0.0030
ijk_ikj_1200_150	1879	9247	1244	10786	14292	533	13	62	37	0.0035
ijk_ikj_1200_200	1507	6905	1090	8824	12297	406	13	58	38	0.0039
ijk_ikj_1200_240	1455	6677	795	8384	11964	344	13	92	54	0.0031
ijk_ikj_1200_300	1385	6842	764	8176	12556	272	9	68	39	0.0030
ijk_ikj_1200_400	1844	7136	684	11444	12695	184	18	84	43	0.0030
ijk_ikj_1200_600	1792	7068	662	11190	12582	56	74	69	45	0.0039
ijk_ikj_1200_1200	2119	7219	370	12615	12747	4	63	332	218	0.0038
ijk_ikj_1250_50	1891	10508	316	11031	19249	1596	51	201	99	0.0043
ijk_ikj_1250_125	2419	12181	1551	13769	16395	719	18	365	171	0.0039
ijk_ikj_1250_250	1906	9574	949	10800	14180	392	12	184	96	0.0050
ijk_ikj_1250_625	2675	12094	728	16066	14408	55	104	98	51	0.0039
ijk_ikj_1250_1250	2836	10721	423	17892	15224	4	65	427	335	0.0055
ijk_ikj_1300_50	2127	11826	392	12374	21652	1804	48	220	129	0.0057
ijk_ikj_1300_52	2065	10437	365	12184	23005	1719	51	159	93	0.0044
ijk_ikj_1300_65	2059	13434	313	12576	19565	1414	34	147	81	0.0043
ijk_ikj_1300_100	1734	9117	583	10164	18569	975	18	94	60	0.0044
ijk_ikj_1300_130	2411	11454	1777	13869	17503	765	18	142	85	0.0036
ijk_ikj_1300_260	1877	8810	1049	10662	16316	432	15	105	61	0.0049
ijk_ikj_1300_325	2447	13360	936	14366	16664	333	21	177	98	0.0038
ijk_ikj_1300_650	2631	11202	829	15650	15913	50	122	144	77	0.0050
ijk_ikj_1300_1300	3428	9315	446	21253	16481	7	81	1242	892	0.0054
ijk_ikj_1350_50	2356	13161	418	13882	24153	2019	63	224	121	0.0071
ijk_ikj_1350_54	2456	14515	413	14805	27562	1897	53	362	190	0.0050
ijk_ikj_1350_75	2551	15649	332	15291	22099	1419	35	150	86	0.0053
ijk_ikj_1350_90	2014	12567	465	12111	20838	1194	26	140	77	0.0054
ijk_ikj_1350_135	2988	15929	1802	17950	21297	826	23	136	80	0.0043
ijk_ikj_1350_150	2685	13545	1829	16042	20889	748	19	128	57	0.0063
ijk_ikj_1350_225	2648	14691	1339	15922	18213	532	17	117	69	0.0057
ijk_ikj_1350_270	2370	12503	1185	13867	18829	472	17	72	45	0.0057
ijk_ikj_1350_450	3132	13182	1078	19284	18927	189	94	80	50	0.0050
ijk_ikj_1350_675	3373	15599	951	20846	18701	44	141	71	46	0.0064
ijk_ikj_1350_1350	4462	12831	527	26483	18101	8	93	2170	1470	0.0069
ijk_ikj_1400_50	1361	7684	260	7976	13956	1164	34	90	47	0.0090
ijk_ikj_1400_56	1115	5419	242	6392	10686	1032	26	112	63	0.0054
ijk_ikj_1400_70	1335	7805	277	7773	14099	825	20	82	38	0.0046
ijk_ikj_1400_100	1100	5745	372	6469	11693	602	13	56	36	0.0055
ijk_ikj_1400_140	1339	5896	1063	7739	11081	446	11	44	26	0.0045
ijk_ikj_1400_175	1622	8722	906	9391	11389	373	10	45	26	0.0055
ijk_ikj_1400_200	1183	5357	829	6742	9533	340	12	39	25	0.0067
ijk_ikj_1400_280	1131	5506	665	6652	9806	248	11	36	26	0.0049
ijk_ikj_1400_350	1468	7045	568	8874	10366	204	13	34	26	0.0047
ijk_ikj_1400_700	1474	5697	533	8974	10308	21	81	42	15	0.0060
ijk_ikj_1400_1400	2403	5581	251	13969	9675	4	54	1677	1160	0.0060
ijk_ikj_1450_50	1492	8361	286	8795	15311	1221	35	87	48	0.0096
ijk_ikj_1450_58	1408	8370	245	8474	14915	1059	31	86	50	0.0061
ijk_ikj_1450_145	1828	9305	1163	10697	11740	487	11	59	33	0.0058
ijk_ikj_1450_290	1439	7465	667	8222	10929	276	14	41	31	0.0076
ijk_ikj_1450_725	2090	9514	557	12679	11324	24	98	42	29	0.0060
ijk_ikj_1450_1450	2564	7765	288	15983	10965	5	58	1972	1529	0.0086
ijk_ikj_1500_50	1647	9203	291	9614	16792	1375	42	124	64	0.0110
ijk_ikj_1500_60	1514	7964	252	8913	17070	1147	32	92	51	0.0067
ijk_ikj_1500_75	1676	10623	251	9776	15405	958	23	80	48	0.0062
ijk_ikj_1500_100	1359	7061	486	7929	14398	738	16	62	40	0.0069
ijk_ikj_1500_125	2112	10818	1452	12264	14599	610	14	70	40	0.0056
ijk_ikj_1500_150	1840	9057	1241	10642	14067	520	11	64	41	0.0087
ijk_ikj_1500_250	3215	16524	1670	17923	24408	700	20	158	89	0.0076
ijk_ikj_1500_300	2818	13602	1480	16215	25006	582	23	164	105	0.0066
ijk_ikj_1500_375	4701	21095	1461	27967	25991	430	81	214	129	0.0058
ijk_ikj_1500_500	3736	14108	1556	23389	25611	159	232	406	194	0.0096
ijk_ikj_1500_750	4063	17518	1265	24570	25239	54	220	174	107	0.0079
ijk_ikj_1500_1500	5786	13352	603	33279	23821	9	144	4539	3977	0.0084
