Function	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses	time
ijk_ikj_400_100	22.00	24250000.00	275000.00	32166666.67	61666666.67	8333.33	0.00	633333.33	83333.33	0.0323
ijk_ikj_400_200	23.00	25583333.33	333333.33	35666666.67	62666666.67	33333.33	0.00	733333.33	0.00	0.0330
ijk_ikj_400_400	22.00	24666666.67	83333.33	37000000.00	54166666.67	16666.67	0.00	633333.33	50000.00	0.0340
ijk_ikj_450_50	32.00	40916666.67	108333.33	44083333.33	94000000.00	0.00	0.00	316666.67	116666.67	0.0473
ijk_ikj_450_75	34.00	45750000.00	75000.00	45416666.67	86750000.00	0.00	0.00	266666.67	66666.67	0.0497
ijk_ikj_450_90	31.00	42916666.67	158333.33	44666666.67	88583333.33	0.00	8333.33	300000.00	133333.33	0.0443
ijk_ikj_450_150	38.67	45000000.00	550000.00	56666666.67	89583333.33	75000.00	0.00	1550000.00	66666.67	0.0573
ijk_ikj_450_225	39.00	41500000.00	358333.33	46750000.00	66250000.00	58333.33	0.00	1633333.33	0.00	0.0570
ijk_ikj_450_450	34.00	34500000.00	125000.00	45333333.33	61333333.33	50000.00	0.00	1333333.33	50000.00	0.0550
ijk_ikj_500_50	45.00	54500000.00	158333.33	60000000.00	123166666.67	33333.33	8333.33	450000.00	133333.33	0.0660
ijk_ikj_500_100	40.33	43750000.00	266666.67	53833333.33	110166666.67	216666.67	0.00	500000.00	183333.33	0.0603
ijk_ikj_500_125	57.67	71750000.00	816666.67	86250000.00	125083333.33	141666.67	8333.33	1800000.00	100000.00	0.0887
ijk_ikj_500_250	46.00	51250000.00	450000.00	60500000.00	100500000.00	91666.67	8333.33	2066666.67	133333.33	0.0687
ijk_ikj_500_500	42.00	41333333.33	150000.00	61416666.67	95000000.00	50000.00	0.00	1433333.33	33333.33	0.0653
ijk_ikj_550_50	60.33	77500000.00	266666.67	84250000.00	176250000.00	33333.33	0.00	433333.33	66666.67	0.0877
ijk_ikj_550_55	69.00	102166666.67	266666.67	98166666.67	201250000.00	25000.00	8333.33	600000.00	133333.33	0.1030
ijk_ikj_550_110	70.67	79583333.33	866666.67	98583333.33	163416666.67	258333.33	0.00	900000.00	150000.00	0.1053
ijk_ikj_550_275	66.67	85416666.67	616666.67	95333333.33	141500000.00	116666.67	0.00	2633333.33	183333.33	0.1003
ijk_ikj_550_550	64.67	72250000.00	216666.67	95416666.67	128416666.67	50000.00	0.00	2350000.00	133333.33	0.1003
ijk_ikj_600_50	76.00	99083333.33	325000.00	108250000.00	228166666.67	58333.33	16666.67	916666.67	250000.00	0.1133
ijk_ikj_600_60	73.00	89750000.00	391666.67	108916666.67	235916666.67	41666.67	0.00	516666.67	133333.33	0.1107
ijk_ikj_600_75	83.67	118750000.00	491666.67	118916666.67	219083333.33	433333.33	16666.67	683333.33	183333.33	0.1240
ijk_ikj_600_100	74.00	82583333.33	1125000.00	110000000.00	213166666.67	408333.33	8333.33	1816666.67	116666.67	0.1110
ijk_ikj_600_120	83.33	68750000.00	1350000.00	101500000.00	159166666.67	391666.67	0.00	3700000.00	150000.00	0.1213
ijk_ikj_600_150	86.33	100666666.67	1250000.00	124750000.00	203166666.67	300000.00	0.00	3700000.00	150000.00	0.1323
ijk_ikj_600_200	74.67	72166666.67	900000.00	100916666.67	174666666.67	233333.33	0.00	3866666.67	250000.00	0.1097
ijk_ikj_600_300	70.33	73833333.33	666666.67	94583333.33	173333333.33	150000.00	0.00	3616666.67	233333.33	0.1047
ijk_ikj_600_600	75.67	75583333.33	275000.00	110833333.33	168833333.33	58333.33	25000.00	2533333.33	133333.33	0.1143
ijk_ikj_650_50	111.00	130666666.67	375000.00	157166666.67	288416666.67	75000.00	8333.33	766666.67	150000.00	0.1593
ijk_ikj_650_65	100.33	150000000.00	283333.33	150166666.67	281500000.00	325000.00	0.00	566666.67	133333.33	0.1470
ijk_ikj_650_130	111.33	119083333.33	1608333.33	154833333.33	236250000.00	466666.67	33333.33	3966666.67	333333.33	0.1710
ijk_ikj_650_325	109.33	140916666.67	900000.00	156333333.33	232000000.00	191666.67	8333.33	4316666.67	233333.33	0.1673
ijk_ikj_650_650	107.33	116083333.33	325000.00	152583333.33	208833333.33	75000.00	25000.00	3300000.00	183333.33	0.1640
ijk_ikj_700_50	118.67	163250000.00	433333.33	178166666.67	370083333.33	108333.33	8333.33	766666.67	300000.00	0.1813
ijk_ikj_700_70	78.33	115250000.00	283333.33	115666666.67	229583333.33	725000.00	8333.33	266666.67	83333.33	0.1843
ijk_ikj_700_100	52.67	66083333.33	500000.00	76500000.00	145750000.00	433333.33	8333.33	233333.33	83333.33	0.1603
ijk_ikj_700_140	77.00	78500000.00	1333333.33	106416666.67	165750000.00	375000.00	16666.67	1350000.00	66666.67	0.1903
ijk_ikj_700_175	102.67	131416666.67	1333333.33	149500000.00	207416666.67	333333.33	0.00	2666666.67	100000.00	0.2233
ijk_ikj_700_350	115.33	122166666.67	891666.67	156666666.67	235083333.33	225000.00	8333.33	4683333.33	300000.00	0.1963
ijk_ikj_700_700	90.67	77666666.67	325000.00	113500000.00	162333333.33	100000.00	16666.67	3416666.67	133333.33	0.1763
ijk_ikj_750_50	124.00	163416666.67	625000.00	176083333.33	356583333.33	108333.33	25000.00	833333.33	266666.67	0.2260
ijk_ikj_750_75	110.33	156250000.00	691666.67	153750000.00	265666666.67	983333.33	33333.33	650000.00	233333.33	0.2413
ijk_ikj_750_125	157.33	185500000.00	2266666.67	225666666.67	307666666.67	650000.00	8333.33	4266666.67	400000.00	0.2997
ijk_ikj_750_150	163.00	174166666.67	2091666.67	221083333.33	334250000.00	708333.33	25000.00	8266666.67	516666.67	0.2673
ijk_ikj_750_250	150.00	172083333.33	1616666.67	206833333.33	333916666.67	450000.00	0.00	7050000.00	266666.67	0.2360
ijk_ikj_750_375	198.67	219416666.67	1283333.33	287000000.00	355500000.00	275000.00	16666.67	6466666.67	366666.67	0.3090
ijk_ikj_750_750	153.00	176333333.33	575000.00	234333333.33	312000000.00	75000.00	58333.33	5766666.67	500000.00	0.2550
ijk_ikj_800_50	158.33	220166666.67	741666.67	243416666.67	487833333.33	200000.00	50000.00	1400000.00	416666.67	0.2803
ijk_ikj_800_80	177.67	213083333.33	1208333.33	253416666.67	476166666.67	2083333.33	8333.33	850000.00	200000.00	0.2300
ijk_ikj_800_100	195.00	227500000.00	3241666.67	285250000.00	511833333.33	1658333.33	33333.33	2266666.67	383333.33	0.2623
ijk_ikj_800_160	193.67	209166666.67	3250000.00	290250000.00	422583333.33	1016666.67	16666.67	3850000.00	333333.33	0.2747
ijk_ikj_800_200	243.00	255166666.67	3491666.67	353500000.00	559583333.33	1016666.67	25000.00	8933333.33	533333.33	0.2640
ijk_ikj_800_400	284.67	252666666.67	2125000.00	401916666.67	542833333.33	500000.00	25000.00	8233333.33	566666.67	0.3050
ijk_ikj_800_800	253.67	251583333.33	1225000.00	381416666.67	514500000.00	133333.33	141666.67	6900000.00	333333.33	0.2757
ijk_ikj_850_50	310.67	438916666.67	1266666.67	473250000.00	937916666.67	1600000.00	133333.33	1283333.33	433333.33	0.3343
ijk_ikj_850_85	306.33	459166666.67	1716666.67	448750000.00	786916666.67	2791666.67	66666.67	1250000.00	383333.33	0.3553
ijk_ikj_850_170	269.67	300833333.33	3658333.33	363000000.00	490916666.67	1216666.67	33333.33	5083333.33	266666.67	0.3617
ijk_ikj_850_425	380.67	421000000.00	2358333.33	555916666.67	595833333.33	500000.00	16666.67	5916666.67	316666.67	0.4523
