Liczba watkow 4
name;n;r;time
IJK_IKJ_1500_300;1500;300;  0.6320
IJK_IKJ_1500_375;1500;375;  0.3840
SEQ_IKJ_100;100;0;  0.0000
IJK_100;100;0;  0.0000
SEQ_IKJ_150;150;0;  0.0020
IJK_150;150;0;  0.0010
SEQ_IKJ_200;200;0;  0.0010
IJK_200;200;0;  0.0030
SEQ_IKJ_250;250;0;  0.0030
IJK_250;250;0;  0.0040
SEQ_IKJ_300;300;0;  0.0050
IJK_300;300;0;  0.0070
SEQ_IKJ_350;350;0;  0.0080
IJK_350;350;0;  0.0120
SEQ_IKJ_400;400;0;  0.0110
IJK_400;400;0;  0.0220
SEQ_IKJ_450;450;0;  0.0170
IJK_450;450;0;  0.0330
SEQ_IKJ_500;500;0;  0.0370
IJK_500;500;0;  0.0390
SEQ_IKJ_550;550;0;  0.0410
IJK_550;550;0;  0.0580
SEQ_IKJ_600;600;0;  0.0380
IJK_600;600;0;  0.0670
SEQ_IKJ_650;650;0;  0.0600
IJK_650;650;0;  0.0810
SEQ_IKJ_700;700;0;  0.0580
IJK_700;700;0;  0.0990
SEQ_IKJ_750;750;0;  0.0860
IJK_750;750;0;  0.1250
SEQ_IKJ_800;800;0;  0.0900
IJK_800;800;0;  0.1520
SEQ_IKJ_850;850;0;  0.1190
IJK_850;850;0;  0.1850
SEQ_IKJ_900;900;0;  0.1270
IJK_900;900;0;  0.2210
SEQ_IKJ_950;950;0;  0.1720
IJK_950;950;0;  0.2830
SEQ_IKJ_1000;1000;0;  0.1740
IJK_1000;1000;0;  0.3310
SEQ_IKJ_1050;1050;0;  0.2330
IJK_1050;1050;0;  0.4490
SEQ_IKJ_1100;1100;0;  0.2530
IJK_1100;1100;0;  0.4260
SEQ_IKJ_1150;1150;0;  0.3260
IJK_1150;1150;0;  0.5310
SEQ_IKJ_1200;1200;0;  0.3350
IJK_1200;1200;0;  0.5630
SEQ_IKJ_1250;1250;0;  0.4450
IJK_1250;1250;0;  0.7170
SEQ_IKJ_1300;1300;0;  0.4690
IJK_1300;1300;0;  0.7960
SEQ_IKJ_1350;1350;0;  0.5880
IJK_1350;1350;0;  0.9130
SEQ_IKJ_1400;1400;0;  0.6290
IJK_1400;1400;0;  0.9240
SEQ_IKJ_1450;1450;0;  0.7360
IJK_1450;1450;0;  1.1970
SEQ_IKJ_1500;1500;0;  0.7750
IJK_1500;1500;0;  1.6100
IJK_IKJ_100_10;100;10;  0.0000
IJK_IKJ_100_20;100;20;  0.0000
IJK_IKJ_100_25;100;25;  0.0000
IJK_IKJ_150_10;150;10;  0.0010
IJK_IKJ_150_15;150;15;  0.0020
IJK_IKJ_150_25;150;25;  0.0010
IJK_IKJ_150_30;150;30;  0.0010
