Function / Call Stack,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time
ijk_ikj_1100_55,892600000.0000,738600000.0000,140000.0000,0.0000,1108400000.0000,3260000.0000,2520000.0000,540000.0000,430000.0000,60000.0000,0.1464
ijk_ikj_1100_50,831400000.0000,687400000.0000,100000.0000,0.0000,1100000000.0000,2020000.0000,1280000.0000,510000.0000,430000.0000,40000.0000,0.1564
ijk_ikj_1100_44,869400000.0000,720400000.0000,80000.0000,0.0000,1072000000.0000,2060000.0000,1380000.0000,690000.0000,580000.0000,120000.0000,0.1569
ijk_ikj_1100_275,886000000.0000,733000000.0000,40000.0000,0.0000,934400000.0000,16640000.0000,12820000.0000,4140000.0000,4070000.0000,20000.0000,0.1577
ijk_ikj_1100_25,917600000.0000,758800000.0000,280000.0000,0.0000,1089200000.0000,2700000.0000,860000.0000,1620000.0000,1550000.0000,40000.0000,0.1535
ijk_ikj_1100_220,876400000.0000,722200000.0000,20000.0000,0.0000,988000000.0000,18440000.0000,12180000.0000,3940000.0000,3910000.0000,100000.0000,0.2616
ijk_ikj_1100_22,929200000.0000,768600000.0000,140000.0000,0.0000,1105600000.0000,2360000.0000,540000.0000,1940000.0000,1890000.0000,60000.0000,0.1708
ijk_ikj_1100_20,896800000.0000,742600000.0000,200000.0000,0.0000,1048800000.0000,2840000.0000,620000.0000,2290000.0000,2240000.0000,0.0000,0.1567
ijk_ikj_1100_110,891600000.0000,736800000.0000,40000.0000,0.0000,983200000.0000,21620000.0000,18980000.0000,680000.0000,640000.0000,20000.0000,0.1867
ijk_ikj_1100_11,1306600000.0000,1079000000.0000,780000.0000,0.0000,1220400000.0000,6600000.0000,560000.0000,6060000.0000,6030000.0000,40000.0000,0.2122
ijk_ikj_1100_100,911200000.0000,749600000.0000,40000.0000,0.0000,908400000.0000,20700000.0000,20800000.0000,550000.0000,510000.0000,60000.0000,0.1696
ijk_ikj_1100_10,1198400000.0000,991600000.0000,480000.0000,0.0000,1158800000.0000,8120000.0000,2440000.0000,6160000.0000,6090000.0000,40000.0000,0.2100
ijk_ikj_1050_75,714000000.0000,591000000.0000,20000.0000,0.0000,970400000.0000,7480000.0000,6120000.0000,320000.0000,300000.0000,20000.0000,0.1487
ijk_ikj_1050_70,775400000.0000,641800000.0000,80000.0000,0.0000,916400000.0000,5480000.0000,5240000.0000,380000.0000,370000.0000,60000.0000,0.1379
ijk_ikj_1050_50,721000000.0000,596600000.0000,40000.0000,0.0000,938000000.0000,1820000.0000,1340000.0000,450000.0000,410000.0000,120000.0000,0.1385
ijk_ikj_1050_42,763600000.0000,632200000.0000,80000.0000,0.0000,948000000.0000,1840000.0000,1260000.0000,600000.0000,530000.0000,60000.0000,0.1369
ijk_ikj_1050_35,787600000.0000,654200000.0000,100000.0000,0.0000,977200000.0000,2160000.0000,1360000.0000,790000.0000,740000.0000,20000.0000,0.1351
ijk_ikj_1050_30,768400000.0000,634200000.0000,100000.0000,0.0000,976000000.0000,2100000.0000,1140000.0000,880000.0000,830000.0000,20000.0000,0.1372
ijk_ikj_1050_25,757200000.0000,624400000.0000,100000.0000,0.0000,913200000.0000,2420000.0000,1200000.0000,1440000.0000,1380000.0000,20000.0000,0.1397
ijk_ikj_1050_210,765000000.0000,634000000.0000,20000.0000,0.0000,852000000.0000,16080000.0000,11280000.0000,3320000.0000,3270000.0000,40000.0000,0.2182
