Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	L1 DTLB hit	DRAM accesses	Read req L3	L3 misses
Unknown Module (PID 7664)!0x2dd94eea	Unknown Module (PID 7664)	1278	347	1387	8067	4765	128	600	2675	28	796	9
Unknown Module (PID 7664)!0x2dd94c1b	Unknown Module (PID 7664)	1274	306	1340	7984	3574	176	540	2533	27	786	10
Unknown Module (PID 7664)!0x2dd94efb	Unknown Module (PID 7664)	1273	306	1440	8296	4379	134	638	2558	30	739	9
Unknown Module (PID 7664)!0x2dd94ed9	Unknown Module (PID 7664)	1256	334	1404	7964	5283	132	538	2474	23	767	16
Unknown Module (PID 7664)!0x2dd94c2c	Unknown Module (PID 7664)	1246	283	1349	7862	3299	174	558	2451	25	775	8
Unknown Module (PID 7664)!0x2dd94c3d	Unknown Module (PID 7664)	1231	285	1332	7983	2938	159	569	2297	33	803	11
Unknown Module (PID 7664)!0x2dd94ebd	Unknown Module (PID 7664)	1230	299	1371	7608	6307	132	379	2402	21	617	14
Unknown Module (PID 7664)!0x2dd94c70	Unknown Module (PID 7664)	1227	285	1288	7689	3679	116	555	2483	24	736	11
multiply_matrices_ijk_ikj_900_50(void)	OMPMul.exe	1226	5729	143	7158	80914	216	9	53760	68	224	21
Unknown Module (PID 7664)!0x2dd94621	Unknown Module (PID 7664)	1224	376	1509	7742	4317	171	548	2773	15	876	6
Unknown Module (PID 7664)!0x2dd94bf9	Unknown Module (PID 7664)	1223	319	1364	7899	4888	151	517	2596	18	827	19
multiply_matrices_ijk_ikj_950_190(void)	OMPMul.exe	1222	5562	323	7543	72095	83	1	48521	49	942	20
Unknown Module (PID 7664)!0x2dd94c5f	Unknown Module (PID 7664)	1215	259	1338	7684	3110	132	530	1894	21	723	7
Unknown Module (PID 7664)!0x2dd9438c	Unknown Module (PID 7664)	1184	302	1370	7292	3599	271	499	2575	8	810	4
multiply_matrices_ijk_600(void)	OMPMul.exe	1179	580	2563	6762	7948	1233	471	4788	51	1351	21
Unknown Module (PID 7664)!0x2dd94bdd	Unknown Module (PID 7664)	1174	294	1360	7465	7192	156	356	2417	22	648	5
Unknown Module (PID 7664)!0x2ddb57cb	Unknown Module (PID 7664)	1149	1991	171	6032	27539	6	25	20056	749	531	319
Unknown Module (PID 7664)!0x2ddaf16b	Unknown Module (PID 7664)	1148	2242	231	5814	30337	8	27	22171	332	439	89
Unknown Module (PID 7664)!0x2dd943bf	Unknown Module (PID 7664)	1142	239	1268	6847	4081	193	444	1936	16	728	2
multiply_matrices_ijk_ikj_850_425(void)	OMPMul.exe	1141	4837	202	6794	63019	33	18	42551	59	803	29
Unknown Module (PID 7664)!0x2dd9439d	Unknown Module (PID 7664)	1134	269	1416	7159	3492	245	523	2342	21	781	7
Unknown Module (PID 7664)!0x2dd9437b	Unknown Module (PID 7664)	1131	373	1440	7070	3659	278	495	2570	13	837	2
Unknown Module (PID 7664)!0x2dd943ae	Unknown Module (PID 7664)	1130	289	1386	6925	3632	226	510	2028	16	734	5
multiply_matrices_ijk_ikj_850_850(void)	OMPMul.exe	1122	4762	138	6351	60903	12	13	42937	36	678	9
multiply_matrices_ijk_ikj_900_75(void)	OMPMul.exe	1118	4968	147	6511	62225	136	4	42713	53	242	20
multiply_matrices_ijk_ikj_850_170(void)	OMPMul.exe	1116	4860	317	6436	63254	80	2	44382	54	909	16
Unknown Module (PID 7664)!0x2dd9436a	Unknown Module (PID 7664)	1115	366	1330	7041	4205	305	440	2734	18	775	6
Unknown Module (PID 7664)!0x2dd94be1	Unknown Module (PID 7664)	1115	294	1330	6817	3057	105	539	2302	24	707	8
Unknown Module (PID 7664)!0x2dd9433d	Unknown Module (PID 7664)	1113	284	1318	6639	7147	233	328	2489	16	629	3
Unknown Module (PID 7664)!0x2dd94359	Unknown Module (PID 7664)	1111	305	1356	6986	5145	279	505	2650	12	760	4
Unknown Module (PID 7664)!0x2dd94ec1	Unknown Module (PID 7664)	1100	307	1307	6991	2579	100	529	2370	19	697	14
Unknown Module (PID 7664)!0x2dd943d0	Unknown Module (PID 7664)	1058	320	1320	6911	4057	248	495	2603	23	734	2
multiply_matrices_ijk_ikj_1050_105(void)	OMPMul.exe	1055	4726	335	6217	61169	96	2	42203	36	543	16
multiply_matrices_ijk_ikj_1050_150(void)	OMPMul.exe	1029	4821	326	5888	57694	84	1	43448	35	741	12
