Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses
multiply_matrices_ijk_600(void)	OMPMul.exe	721	1749	1020	4379	3052	5977	11	31	21
multiply_matrices_ijk_ikj_900_75(void)	OMPMul.exe	705	4325	87	3874	6235	358	5	19	16
multiply_matrices_ijk_ikj_850_850(void)	OMPMul.exe	698	3304	123	4352	4738	11	15	15	10
multiply_matrices_ikj_850(void)	OMPMul.exe	683	3154	102	4063	4166	10	13	21	9
multiply_matrices_ijk_ikj_900_50(void)	OMPMul.exe	679	4185	127	4171	7705	329	11	23	10
multiply_matrices_ikj_900(void)	OMPMul.exe	673	3108	151	4330	5142	7	22	23	12
multiply_matrices_ijk_ikj_900_180(void)	OMPMul.exe	654	3104	453	3865	5777	139	2	16	15
multiply_matrices_ijk_ikj_850_170(void)	OMPMul.exe	651	3129	384	3698	4716	119	3	22	12
multiply_matrices_ijk_ikj_900_60(void)	OMPMul.exe	641	3493	103	3854	7521	402	7	25	11
multiply_matrices_ijk_ikj_900_90(void)	OMPMul.exe	609	3699	126	3462	6101	286	5	14	8
multiply_matrices_ijk_ikj_850_85(void)	OMPMul.exe	606	3825	137	3470	5713	242	4	17	12
multiply_matrices_ijk_ikj_900_300(void)	OMPMul.exe	600	2784	291	3256	5091	89	4	21	12
multiply_matrices_ijk_ikj_900_100(void)	OMPMul.exe	592	2995	332	3438	6127	260	4	19	10
clean_1300(void)	OMPMul.exe	576	3106	15	3532	8467			64	19
multiply_matrices_ijk_ikj_850_50(void)	OMPMul.exe	549	3387	100	3254	6188	31	11	13	11
multiply_matrices_ijk_ikj_800_400(void)	OMPMul.exe	548	2071	170	3228	3684	37	2	14	10
multiply_matrices_ijk_550(void)	OMPMul.exe	533	1325	1033	3301	2383	4041	6	35	18
multiply_matrices_ijk_ikj_800_800(void)	OMPMul.exe	522	2136	104	3204	3804	11	10	7	4
clean_1050(void)	OMPMul.exe	500	2446	16	2694	6460			23	12
multiply_matrices_ikj_800(void)	OMPMul.exe	475	2082	90	2961	3433	11	7	12	10
multiply_matrices_ikj_750(void)	OMPMul.exe	474	2254	74	2860	2985	13	2	22	10
multiply_matrices_ijk_ikj_800_160(void)	OMPMul.exe	471	1998	313	2677	3567	102	1	14	7
multiply_matrices_ijk_ikj_800_200(void)	OMPMul.exe	462	2002	287	2623	3610	80	2	19	10
clean_1400(void)	OMPMul.exe	456	2577	16	2832	7661			30	7
