Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time
ikj_600,361111111.1111,147555555.5556,122222222.2222,0.0000,0.0000,67222222.2222,7711111.1111,8161111.1111,1322222.2222,1300000.0000,11111.1111,0.0413
ijk_ikj_400_80,357777777.7778,122000000.0000,100666666.6667,0.0000,0.0000,149177777.7778,2355555.5556,1588888.8889,44444.4444,33333.3333,11111.1111,0.0154
ijk_450,355777777.7778,397555555.5556,327777777.7778,0.0000,0.0000,172977777.7778,24222222.2222,20177777.7778,3633333.3333,3633333.3333,5555.5556,0.0304
ijk_ikj_400_100,354222222.2222,118888888.8889,98888888.8889,0.0000,0.0000,118466666.6667,2533333.3333,2600000.0000,66666.6667,38888.8889,11111.1111,0.0109
ijk_ikj_350_14,339111111.1111,87111111.1111,70444444.4444,0.0000,0.0000,97888888.8889,400000.0000,350000.0000,55555.5556,72222.2222,5555.5556,0.0081
ijk_ikj_350_25,282666666.6667,79111111.1111,64666666.6667,22222.2222,0.0000,102822222.2222,222222.2222,155555.5556,55555.5556,50000.0000,0.0000,0.0093
ikj_550,279333333.3333,137333333.3333,113777777.7778,0.0000,0.0000,60977777.7778,5177777.7778,4122222.2222,711111.1111,711111.1111,16666.6667,0.0378
ijk_ikj_350_35,272888888.8889,74666666.6667,60444444.4444,0.0000,0.0000,95800000.0000,177777.7778,150000.0000,44444.4444,38888.8889,0.0000,0.0073
ijk_ikj_350_50,256666666.6667,71777777.7778,57777777.7778,22222.2222,0.0000,89222222.2222,111111.1111,105555.5556,55555.5556,27777.7778,0.0000,0.0084
ijk_400,251111111.1111,280222222.2222,231555555.5556,0.0000,0.0000,153555555.5556,12044444.4444,6483333.3333,2650000.0000,2644444.4444,5555.5556,0.0212
ijk_ikj_350_70,248000000.0000,73333333.3333,60222222.2222,0.0000,0.0000,91444444.4444,466666.6667,400000.0000,55555.5556,44444.4444,0.0000,0.0087
ijk_ikj_300_10,243111111.1111,66666666.6667,54666666.6667,0.0000,0.0000,42955555.5556,333333.3333,544444.4444,50000.0000,44444.4444,0.0000,0.0063
ijk_ikj_300_15,212666666.6667,62888888.8889,51333333.3333,22222.2222,0.0000,70933333.3333,200000.0000,155555.5556,55555.5556,50000.0000,11111.1111,0.0059
ikj_500,206888888.8889,83111111.1111,68222222.2222,0.0000,0.0000,28333333.3333,3444444.4444,5672222.2222,1072222.2222,1061111.1111,5555.5556,0.0266
ijk_ikj_300_12,202666666.6667,62888888.8889,52222222.2222,0.0000,0.0000,63511111.1111,288888.8889,238888.8889,44444.4444,38888.8889,0.0000,0.0059
ijk_ikj_300_25,178444444.4444,53777777.7778,44000000.0000,0.0000,0.0000,57288888.8889,155555.5556,100000.0000,22222.2222,33333.3333,5555.5556,0.0046
ijk_ikj_300_20,176222222.2222,59333333.3333,47777777.7778,0.0000,0.0000,61355555.5556,177777.7778,127777.7778,16666.6667,33333.3333,5555.5556,0.0048
ijk_ikj_300_30,174222222.2222,54000000.0000,45111111.1111,0.0000,0.0000,69466666.6667,133333.3333,94444.4444,27777.7778,11111.1111,0.0000,0.0048
ijk_350,167777777.7778,188222222.2222,154888888.8889,0.0000,0.0000,76488888.8889,5333333.3333,10666666.6667,1055555.5556,1044444.4444,0.0000,0.0142
