Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time
ikj_1100,1979600000.0000,934800000.0000,737600000.0000,20000.0000,0.0000,396680000.0000,48140000.0000,40800000.0000,7870000.0000,5735000.0000,2145000.0000,0.2476
ijk_ikj_700_35,1965000000.0000,536400000.0000,444200000.0000,40000.0000,0.0000,634440000.0000,1400000.0000,980000.0000,610000.0000,630000.0000,0.0000,0.0393
ijk_ikj_650_13,1955200000.0000,516800000.0000,427200000.0000,20000.0000,0.0000,576920000.0000,2460000.0000,960000.0000,1570000.0000,1555000.0000,5000.0000,0.0395
ijk_ikj_700_28,1908000000.0000,548000000.0000,453000000.0000,20000.0000,0.0000,648980000.0000,1460000.0000,695000.0000,805000.0000,775000.0000,20000.0000,0.0479
ijk_ikj_700_50,1848400000.0000,535800000.0000,442400000.0000,0.0000,0.0000,687240000.0000,1440000.0000,680000.0000,345000.0000,295000.0000,25000.0000,0.0446
ijk_800,1802200000.0000,2108400000.0000,1746000000.0000,100000.0000,0.0000,516380000.0000,521760000.0000,444170000.0000,58685000.0000,58505000.0000,110000.0000,0.1593
ijk_ikj_700_70,1786000000.0000,531400000.0000,436400000.0000,0.0000,0.0000,719400000.0000,3720000.0000,2775000.0000,245000.0000,230000.0000,30000.0000,0.0441
ijk_ikj_600_10,1750800000.0000,451600000.0000,372400000.0000,20000.0000,0.0000,410640000.0000,2800000.0000,2965000.0000,1000000.0000,995000.0000,10000.0000,0.0341
ikj_1050,1724400000.0000,875800000.0000,689800000.0000,20000.0000,0.0000,356640000.0000,33360000.0000,27735000.0000,5320000.0000,4180000.0000,1125000.0000,0.2337
ijk_ikj_700_100,1705800000.0000,561000000.0000,462800000.0000,0.0000,0.0000,644000000.0000,13860000.0000,11745000.0000,370000.0000,345000.0000,15000.0000,0.0486
ijk_ikj_700_175,1696400000.0000,580800000.0000,480000000.0000,0.0000,0.0000,666580000.0000,12900000.0000,9030000.0000,1565000.0000,1495000.0000,20000.0000,0.0422
ijk_ikj_700_140,1684000000.0000,574600000.0000,474400000.0000,0.0000,0.0000,565680000.0000,11340000.0000,11795000.0000,1050000.0000,1005000.0000,15000.0000,0.0629
ijk_ikj_650_26,1645200000.0000,436200000.0000,360800000.0000,0.0000,0.0000,604560000.0000,1320000.0000,355000.0000,605000.0000,585000.0000,5000.0000,0.0401
ijk_ikj_650_25,1635000000.0000,476000000.0000,392200000.0000,20000.0000,0.0000,474680000.0000,1180000.0000,565000.0000,840000.0000,865000.0000,5000.0000,0.0372
ijk_ikj_600_15,1531200000.0000,401800000.0000,331400000.0000,0.0000,0.0000,435120000.0000,1360000.0000,750000.0000,910000.0000,910000.0000,5000.0000,0.0302
ijk_750,1484800000.0000,1730800000.0000,1430600000.0000,120000.0000,20000.0000,414600000.0000,415560000.0000,402385000.0000,24210000.0000,24085000.0000,55000.0000,0.1282
ijk_ikj_650_50,1479800000.0000,437000000.0000,361800000.0000,0.0000,0.0000,610760000.0000,1160000.0000,820000.0000,255000.0000,225000.0000,15000.0000,0.0376
ikj_1000,1478400000.0000,657200000.0000,522800000.0000,20000.0000,0.0000,296880000.0000,36900000.0000,29960000.0000,5440000.0000,4635000.0000,795000.0000,0.1747
ijk_ikj_600_12,1452600000.0000,371600000.0000,309000000.0000,0.0000,0.0000,542580000.0000,2620000.0000,960000.0000,640000.0000,625000.0000,5000.0000,0.0337
ijk_ikj_650_65,1430000000.0000,432000000.0000,358000000.0000,0.0000,0.0000,502540000.0000,2060000.0000,1785000.0000,250000.0000,240000.0000,0.0000,0.0372
ijk_ikj_650_130,1371400000.0000,451400000.0000,373200000.0000,0.0000,0.0000,545260000.0000,10960000.0000,8350000.0000,470000.0000,445000.0000,20000.0000,0.0526
ijk_ikj_550_10,1347200000.0000,356400000.0000,294400000.0000,0.0000,0.0000,251120000.0000,1740000.0000,2835000.0000,625000.0000,600000.0000,0.0000,0.0301
ijk_ikj_550_11,1328600000.0000,376000000.0000,309600000.0000,0.0000,0.0000,456460000.0000,2440000.0000,1060000.0000,595000.0000,580000.0000,0.0000,0.0277
ijk_ikj_600_25,1284800000.0000,362800000.0000,300600000.0000,0.0000,0.0000,386100000.0000,920000.0000,360000.0000,635000.0000,620000.0000,5000.0000,0.0274
ijk_ikj_600_20,1274200000.0000,349000000.0000,290200000.0000,0.0000,0.0000,369580000.0000,960000.0000,455000.0000,740000.0000,750000.0000,15000.0000,0.0302
ikj_950,1269800000.0000,599200000.0000,480800000.0000,20000.0000,0.0000,264840000.0000,25380000.0000,20385000.0000,3705000.0000,3320000.0000,345000.0000,0.1700
ijk_ikj_600_30,1257600000.0000,368800000.0000,304800000.0000,0.0000,0.0000,419900000.0000,1080000.0000,480000.0000,420000.0000,405000.0000,5000.0000,0.0248
ijk_ikj_600_24,1231000000.0000,330800000.0000,273600000.0000,40000.0000,0.0000,531200000.0000,1060000.0000,205000.0000,370000.0000,375000.0000,0.0000,0.0285
ijk_700,1208200000.0000,1393800000.0000,1153000000.0000,40000.0000,0.0000,353920000.0000,346740000.0000,316860000.0000,14375000.0000,14295000.0000,10000.0000,0.1032
ijk_ikj_600_50,1163400000.0000,324600000.0000,270800000.0000,0.0000,0.0000,470980000.0000,840000.0000,375000.0000,180000.0000,190000.0000,0.0000,0.0238
ijk_ikj_600_40,1147800000.0000,333200000.0000,276200000.0000,0.0000,0.0000,405280000.0000,720000.0000,465000.0000,265000.0000,265000.0000,5000.0000,0.0259
ijk_ikj_600_75,1124400000.0000,321200000.0000,267000000.0000,20000.0000,0.0000,413700000.0000,3680000.0000,3095000.0000,200000.0000,180000.0000,5000.0000,0.0260
ijk_ikj_600_60,1107600000.0000,324400000.0000,267800000.0000,40000.0000,0.0000,407280000.0000,980000.0000,600000.0000,200000.0000,175000.0000,10000.0000,0.0306
ijk_ikj_600_100,1073600000.0000,404800000.0000,334800000.0000,0.0000,0.0000,373360000.0000,6920000.0000,7350000.0000,230000.0000,270000.0000,20000.0000,0.0356
ijk_ikj_600_150,1072400000.0000,357200000.0000,297200000.0000,0.0000,0.0000,343800000.0000,6780000.0000,7540000.0000,795000.0000,785000.0000,20000.0000,0.0271
ikj_900,1070600000.0000,448800000.0000,367600000.0000,0.0000,0.0000,211540000.0000,26840000.0000,22605000.0000,4040000.0000,3725000.0000,310000.0000,0.1295
ijk_ikj_600_120,1067600000.0000,359000000.0000,297200000.0000,20000.0000,0.0000,443480000.0000,8960000.0000,6030000.0000,275000.0000,275000.0000,5000.0000,0.0402
ijk_ikj_550_22,1035800000.0000,269400000.0000,223600000.0000,0.0000,0.0000,265580000.0000,540000.0000,350000.0000,505000.0000,495000.0000,5000.0000,0.0222
ijk_ikj_500_10,1013400000.0000,276400000.0000,228400000.0000,20000.0000,0.0000,289660000.0000,2060000.0000,1535000.0000,335000.0000,305000.0000,5000.0000,0.0223
ijk_ikj_550_25,990000000.0000,261800000.0000,216400000.0000,0.0000,0.0000,424280000.0000,940000.0000,215000.0000,270000.0000,285000.0000,5000.0000,0.0213
ijk_650,968400000.0000,1105800000.0000,915400000.0000,40000.0000,0.0000,279880000.0000,280580000.0000,256220000.0000,11155000.0000,11100000.0000,20000.0000,0.0824
ikj_850,901200000.0000,413400000.0000,337600000.0000,0.0000,0.0000,191100000.0000,18520000.0000,14085000.0000,2560000.0000,2470000.0000,80000.0000,0.1228
ijk_ikj_550_50,896600000.0000,243600000.0000,200200000.0000,0.0000,0.0000,263100000.0000,400000.0000,345000.0000,200000.0000,195000.0000,5000.0000,0.0237
ijk_ikj_550_55,895400000.0000,249000000.0000,207400000.0000,40000.0000,0.0000,406280000.0000,700000.0000,325000.0000,130000.0000,125000.0000,10000.0000,0.0212
ijk_ikj_550_110,839200000.0000,258200000.0000,214000000.0000,40000.0000,0.0000,234120000.0000,5040000.0000,7445000.0000,220000.0000,195000.0000,0.0000,0.0311
ijk_600,761200000.0000,862400000.0000,713400000.0000,20000.0000,0.0000,220300000.0000,203600000.0000,201090000.0000,9085000.0000,9045000.0000,15000.0000,0.0645
ijk_ikj_500_25,744000000.0000,209400000.0000,173000000.0000,40000.0000,0.0000,219800000.0000,500000.0000,355000.0000,285000.0000,300000.0000,0.0000,0.0193
ikj_800,742200000.0000,305800000.0000,251600000.0000,0.0000,0.0000,151340000.0000,20000000.0000,15265000.0000,2670000.0000,2610000.0000,75000.0000,0.0881
ijk_ikj_450_10,738800000.0000,192800000.0000,158000000.0000,40000.0000,0.0000,247520000.0000,1680000.0000,920000.0000,180000.0000,180000.0000,0.0000,0.0220
ijk_ikj_500_20,737400000.0000,219400000.0000,181600000.0000,0.0000,0.0000,252800000.0000,760000.0000,365000.0000,300000.0000,310000.0000,5000.0000,0.0161
ijk_ikj_500_50,673400000.0000,191000000.0000,158000000.0000,0.0000,0.0000,287600000.0000,600000.0000,255000.0000,125000.0000,95000.0000,0.0000,0.0220
ikj_750,645600000.0000,292600000.0000,241000000.0000,0.0000,0.0000,113860000.0000,9980000.0000,12090000.0000,2040000.0000,1965000.0000,75000.0000,0.0846
ijk_ikj_450_15,645400000.0000,186600000.0000,154000000.0000,0.0000,0.0000,166040000.0000,540000.0000,470000.0000,290000.0000,280000.0000,0.0000,0.0202
ijk_ikj_500_125,622800000.0000,212400000.0000,175800000.0000,0.0000,0.0000,258020000.0000,5160000.0000,3575000.0000,180000.0000,170000.0000,5000.0000,0.0175
ijk_ikj_500_100,621400000.0000,199200000.0000,164600000.0000,20000.0000,0.0000,188780000.0000,4000000.0000,5350000.0000,125000.0000,120000.0000,5000.0000,0.0236
ijk_ikj_450_18,598200000.0000,156600000.0000,128600000.0000,0.0000,0.0000,226240000.0000,600000.0000,250000.0000,180000.0000,170000.0000,0.0000,0.0143
ijk_550,587000000.0000,665400000.0000,548800000.0000,0.0000,0.0000,199220000.0000,138300000.0000,126430000.0000,6025000.0000,6020000.0000,0.0000,0.0498
ijk_ikj_450_25,542400000.0000,155000000.0000,128800000.0000,0.0000,0.0000,141520000.0000,320000.0000,245000.0000,205000.0000,195000.0000,5000.0000,0.0170
ijk_ikj_450_30,530800000.0000,146200000.0000,120200000.0000,0.0000,0.0000,184060000.0000,440000.0000,210000.0000,150000.0000,145000.0000,10000.0000,0.0169
